repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
jimureport,6.17,5.0,4.06,1.0,1.0,0.0,2.5,1.0,4.08
metrics,5.53,4.0,4.64,1.37,1.0,0.81,9.14,0.0,38.2
CompreFace,7.85,6.0,7.33,1.66,1.0,1.33,3.89,0.0,16.05
HomeMirror,2.73,2.0,4.94,1.08,1.0,0.27,5.35,0.0,35.4
hellocharts-android,6.31,3.0,6.49,1.52,1.0,0.83,40.29,1.0,150.07
material-theme-jetbrains,4.33,3.0,4.94,2.25,2.0,1.45,84.42,1.0,634.42
AntennaPod,7.55,5.0,9.09,1.49,1.0,0.79,20.85,1.0,102.21
Shadow,4.25,3.0,4.12,1.78,1.0,1.06,17.33,0.0,94.8
PowerJob,5.75,4.0,6.22,1.18,1.0,0.55,5.14,0.0,27.94
MVVMHabit,3.58,2.0,3.83,1.27,1.0,0.65,15.76,0.0,74.06
AppManager,7.93,5.0,9.15,1.47,1.0,0.75,73.87,1.0,1034.31
RxLifecycle,6.43,6.0,6.16,1.65,1.0,1.14,1.41,0.0,4.06
vjtools,3.13,2.0,3.47,1.28,1.0,0.76,26.3,1.0,106.81
mapstruct,3.83,2.0,4.9,1.17,1.0,0.6,11.19,0.0,73.66
TV,6.88,4.0,8.89,1.42,1.0,0.7,107.15,1.0,693.13
MyBookshelf,6.34,4.0,7.74,1.47,1.0,0.88,58.66,1.0,338.61
android-classyshark,3.17,2.0,3.57,1.28,1.0,0.93,10.25,1.0,27.57
MinecraftForge,7.42,6.0,10.28,1.57,1.0,1.29,32.69,1.0,368.69
AndroidAsync,3.61,2.0,5.02,1.53,1.0,1.75,19.44,0.0,84.11
RxJava-Android-Samples,6.63,3.0,7.15,1.83,1.0,0.96,9.2,3.0,25.35
algs4,4.0,4.0,2.51,1.02,1.0,0.17,47.47,0.0,263.52
swagger-core,4.68,3.0,6.79,1.23,1.0,0.63,49.77,0.0,735.33
gnirehtet,3.77,2.0,3.6,1.19,1.0,0.53,14.3,1.0,35.25
LeetCode,1.24,1.0,0.67,1.0,1.0,0.0,0.84,0.0,2.33
DependencyCheck,6.94,5.0,7.53,1.83,2.0,0.99,63.96,3.0,349.98
enso,6.44,5.0,6.71,1.68,1.0,1.34,36.55,1.0,351.0
VBlog,4.55,4.0,3.62,1.03,1.0,0.19,29.07,1.0,92.84
SpringCloud-Learning,5.88,4.0,5.84,1.04,1.0,0.26,28.73,1.0,87.78
Mapper,5.09,4.0,4.64,1.24,1.0,0.53,36.24,0.0,176.56
gocd,7.5,5.0,9.15,1.28,1.0,0.75,34.5,1.0,319.9
astron-rpa,5.62,3.0,8.85,1.14,1.0,0.43,38.2,0.0,231.91
RePlugin,5.2,3.0,6.26,1.42,1.0,0.68,32.02,0.0,182.82
ShortcutBadger,5.29,5.0,4.59,1.16,1.0,0.45,3.48,1.0,7.53
dagger,3.17,3.0,2.95,1.23,1.0,0.72,5.99,0.0,45.36
Android-Bootstrap,6.96,3.0,8.32,1.67,1.0,0.86,31.39,2.0,77.89
WeChatLuckyMoney,5.38,3.0,5.12,1.38,1.0,0.5,8.81,1.0,18.42
xmall,4.31,3.0,5.41,1.16,1.0,0.42,632.83,13.0,2870.93
TakePhoto,5.05,2.0,5.81,1.25,1.0,0.55,10.89,1.0,22.58
sweet-alert-dialog,4.38,1.5,5.54,1.25,1.0,0.45,31.06,0.0,88.95
nanohttpd,4.34,3.0,4.36,1.79,1.0,1.56,22.16,1.0,88.27
UltimateRecyclerView,5.21,3.0,6.05,1.69,1.0,1.08,41.39,0.0,268.32
wiremock,5.98,4.0,6.99,1.42,1.0,1.11,69.92,1.0,798.61
KnowStreaming,7.2,4.0,8.05,1.82,1.0,1.09,10.32,0.0,44.61
alluxio,6.91,5.0,8.37,1.48,1.0,1.49,30.66,1.0,238.17
error-prone,7.96,5.0,14.12,1.55,1.0,1.11,27.24,0.0,344.88
hertzbeat,7.12,5.0,6.85,1.25,1.0,1.37,13.03,0.0,57.96
agera,6.33,4.0,6.69,1.24,1.0,0.54,14.84,0.0,106.49
rest-assured,5.17,4.0,5.86,1.21,1.0,0.52,105.87,1.0,577.89
JavaTutorial,0.33,0.0,0.58,1.0,1.0,0.0,0.33,0.0,0.58
traccar,5.62,4.0,4.58,1.92,2.0,0.82,6.0,0.0,48.27
SmartTabLayout,6.36,4.0,5.78,1.64,1.0,0.98,9.71,1.0,27.89
ActionBarSherlock,6.28,4.0,7.11,1.95,1.0,1.57,63.4,0.0,264.28
java-eight-part,,,0.0,,,0.0,,,0.0
Recaf,8.44,6.0,8.93,1.58,1.0,0.98,27.3,1.0,171.35
Timber,5.4,3.0,6.68,1.46,1.0,0.82,19.75,0.0,171.85
netty-socketio,4.82,3.0,6.53,1.26,1.0,0.55,32.1,0.0,250.07
elasticsearch-sql,9.58,6.0,19.72,2.08,1.0,1.5,189.52,1.0,1270.18
junit-framework,4.72,3.0,5.52,1.3,1.0,0.97,35.71,0.0,734.46
DroidPlugin,3.3,2.0,5.19,4.39,3.0,8.04,3.7,0.0,23.33
jvm-sandbox,3.48,2.0,4.4,1.33,1.0,0.83,12.36,0.0,57.6
logisim-evolution,6.05,4.0,6.43,2.42,2.0,2.53,29.12,1.0,126.62
springcloud-learning,4.88,3.0,5.01,1.02,1.0,0.15,85.88,0.0,846.65
rabbitmq-tutorials,4.59,4.0,2.66,1.0,1.0,0.0,2.2,1.0,4.03
BookReader,4.8,2.0,6.57,1.44,1.0,0.81,25.32,0.0,161.86
walle,3.15,2.0,4.08,1.19,1.0,0.72,8.69,0.5,23.49
AndroidProject,7.93,5.0,8.6,2.26,1.0,1.75,19.85,1.0,57.86
okhttputils,3.73,2.5,4.05,1.46,1.0,0.65,6.2,0.0,16.78
vespa,6.09,4.0,7.38,1.62,1.0,1.53,40.35,1.0,324.25
haven,6.82,4.0,7.33,1.39,1.0,0.59,11.77,1.0,39.76
react-native-push-notification,6.31,4.0,6.88,1.24,1.0,0.44,15.48,0.0,50.25
byte-buddy,6.13,4.0,8.06,1.63,1.0,2.01,15.21,0.0,291.29
angel,7.43,5.0,9.98,1.75,2.0,0.88,63.43,0.0,598.97
itstack-demo-design,2.17,2.0,2.28,1.11,1.0,0.32,5.33,0.0,12.48
springBoot,5.09,4.0,4.43,1.15,1.0,0.41,15.5,0.0,70.73
AndroidPicker,5.44,3.0,6.87,1.64,1.0,1.26,51.72,0.0,331.96
Pixiv-Shaft,4.88,3.0,6.04,1.44,1.0,1.11,25.52,0.0,272.5
Leaf,3.48,1.5,4.25,1.42,1.0,1.03,11.25,0.0,35.06
wvp-GB28181-pro,8.27,5.0,10.2,1.29,1.0,0.53,34.1,0.0,175.28
AndroidPerformanceMonitor,4.07,3.0,3.94,1.28,1.0,0.53,14.07,0.0,37.25
mybatis-generator-gui,7.18,5.0,7.81,1.49,1.0,0.68,69.95,3.0,255.11
XXPermissions,7.42,5.0,7.17,1.67,1.0,0.95,105.3,1.0,973.22
quartz,5.58,3.0,6.4,1.45,1.0,0.85,124.58,1.0,820.19
AndroidAutoLayout,5.83,5.0,4.65,2.0,2.0,0.7,8.81,8.0,16.37
Suwayomi-Server,5.55,2.0,10.41,1.62,1.0,1.47,1495.52,1.0,21598.42
jOOQ,9.81,7.0,18.03,1.82,1.0,3.08,1679.73,3.0,43347.52
AndPermission,3.99,3.0,3.67,1.17,1.0,0.37,7.49,0.0,35.26
smali,6.02,4.0,8.34,1.67,1.0,1.25,15.02,1.0,85.7
zeppelin,5.76,3.0,7.31,1.26,1.0,0.66,43.4,1.0,344.01
hazelcast,7.92,5.0,15.75,1.76,1.0,4.74,44.89,1.0,437.88
pig,6.96,5.0,6.46,1.31,1.0,0.58,5.3,0.0,53.41
Toasty,4.06,3.0,4.19,1.06,1.0,0.25,56.62,0.0,213.87
ansj_seg,6.32,4.0,5.86,1.19,1.0,0.44,9.58,0.0,42.67
Android-skin-support,6.08,5.0,5.04,1.39,1.0,0.73,17.67,1.0,68.42
processing,3.73,2.0,5.99,1.64,1.0,2.0,507.76,0.0,7175.11
QR-Code-generator,3.95,3.0,3.66,1.42,1.0,1.26,19.58,1.0,26.29
hibernate-orm,6.92,5.0,9.18,1.34,1.0,0.94,75.03,1.0,2192.71
Android-Image-Cropper,7.72,4.0,9.42,1.38,1.0,0.54,70.38,0.0,236.73
Spring-Cloud-Platform,4.89,3.0,5.22,1.41,1.0,0.83,57.65,0.0,211.24
so-novel,5.86,4.5,5.28,1.18,1.0,0.47,3.11,0.0,6.52
RoundedImageView,8.4,9.0,6.43,1.8,2.0,0.77,107.47,0.0,273.83
jetlinks-community,8.8,6.0,8.64,1.28,1.0,0.59,11.85,1.0,42.64
IJPay,5.59,5.0,10.49,1.37,1.0,0.58,139.4,0.0,1332.61
gephi,4.62,3.0,5.11,1.67,1.0,1.66,29.46,1.0,173.96
async-http-client,6.07,4.0,6.94,1.49,1.0,0.83,49.42,1.0,294.55
micronaut-core,5.7,4.0,7.15,1.31,1.0,0.91,35.93,0.0,411.05
flink-cdc,8.43,5.0,9.35,1.45,1.0,0.88,28.52,1.0,115.44
remusic,5.19,3.0,6.43,1.45,1.0,0.81,41.65,0.0,345.67
graphhopper,6.77,4.0,8.67,1.26,1.0,0.69,31.73,0.0,163.04
jsonschema2pojo,6.64,5.0,5.89,1.16,1.0,0.5,46.54,0.0,268.42
smile,,,0.0,,,0.0,,,0.0
mini-spring,3.42,2.0,3.56,1.22,1.0,0.66,5.09,0.0,20.42
richeditor-android,2.42,2.0,2.6,1.14,1.0,0.41,46.95,0.0,305.87
JFoenix,6.92,4.0,6.94,1.62,1.0,0.96,22.08,1.0,88.53
from-java-to-kotlin,0.5,0.5,0.71,1.0,1.0,0.0,0.0,0.0,0.0
iotdb,8.35,6.0,14.71,1.61,1.0,1.03,111.48,1.0,2766.08
config,5.48,3.0,7.16,2.06,1.0,4.37,76.24,0.0,399.34
ion,4.58,3.0,6.13,1.46,1.0,1.46,23.6,0.0,205.83
graphql-java,8.34,5.0,10.78,1.37,1.0,0.94,36.37,1.0,206.1
incubator-kie-drools,6.57,4.0,8.96,1.62,1.0,1.32,65.08,1.0,699.37
spring-cloud-examples,3.83,4.0,1.08,1.02,1.0,0.13,0.47,0.0,2.1
java-jwt,5.66,3.5,5.48,1.63,1.0,1.32,142.74,1.0,531.45
grafika,6.41,5.0,6.28,1.75,2.0,0.86,6.89,0.0,16.89
camel,4.85,3.0,8.11,1.63,1.0,2.39,80.59,1.0,2245.43
useful-java-links,2.3,2.0,2.49,1.02,1.0,0.15,1.83,0.0,6.86
SoloPi,4.62,2.0,6.67,1.21,1.0,0.65,13.14,0.0,70.34
get_jobs,5.22,2.0,6.72,1.0,1.0,0.0,33.32,0.0,146.08
SpringBootVulExploit,3.43,3.0,2.95,1.0,1.0,0.0,3.57,0.0,7.45
vavr,,,0.0,,,0.0,,,0.0
kafdrop,5.54,3.0,7.56,1.32,1.0,0.85,28.19,0.0,130.29
hudi,9.28,6.0,10.37,1.57,1.0,1.05,66.2,1.0,1023.03
SwipeBackLayout,5.22,3.0,6.04,1.39,1.0,0.7,61.33,3.0,163.94
MaterialEditText,5.65,2.0,10.59,1.31,1.0,0.47,742.85,0.0,2092.8
google-java-format,6.3,4.0,11.04,1.46,1.0,0.88,91.25,1.0,497.4
NumberProgressBar,3.17,0.5,4.92,1.33,1.0,0.52,91.83,0.0,222.02
javaparser,8.77,5.0,17.07,1.94,1.0,2.28,283.86,1.0,6014.39
pinot,7.4,5.0,8.45,1.52,1.0,1.3,57.44,1.0,490.09
j2objc,,,0.0,,,0.0,,,0.0
austin,6.27,5.0,5.08,1.12,1.0,0.38,1.45,0.0,5.12
dynamic-load-apk,5.81,3.0,6.25,1.45,1.0,0.8,9.42,0.0,30.01
nifi,7.41,4.0,11.21,1.48,1.0,0.86,60.11,1.0,1168.84
hive,6.9,4.0,12.66,1.41,1.0,1.16,92.74,1.0,2844.84
EffectiveAndroidUI,4.44,3.0,4.65,1.34,1.0,0.63,11.62,1.0,27.73
jeepay,8.85,7.0,7.5,1.78,2.0,0.86,4.29,0.0,28.89
robolectric,5.94,4.0,6.72,1.35,1.0,1.18,72.01,0.0,628.08
hippo4j,4.58,3.0,4.89,1.2,1.0,0.58,5.93,0.0,25.18
datax-web,5.04,3.0,5.42,1.39,1.0,0.68,13.24,0.0,64.06
btrace,4.74,4.0,5.37,1.33,1.0,0.87,79.95,0.0,1315.61
physical-web,4.79,3.0,5.57,1.29,1.0,0.56,26.71,0.0,209.18
shattered-pixel-dungeon,6.34,4.0,9.24,2.85,2.0,2.91,13.83,1.0,99.21
material,6.51,3.0,7.98,1.65,1.0,1.19,54.5,1.0,190.82
api-samples,6.4,7.0,4.41,1.0,1.0,0.0,4.38,0.0,9.85
xUtils3,5.22,3.0,5.36,1.41,1.0,0.88,27.45,2.0,102.75
ssm,4.16,2.0,5.36,1.68,1.0,1.11,2.05,1.0,3.26
springfox,5.7,3.0,7.65,1.12,1.0,0.4,23.25,0.0,151.29
JSqlParser,6.2,4.0,13.46,1.56,1.0,1.04,507.63,1.0,8154.85
zxing-android-embedded,5.44,4.0,5.69,1.36,1.0,0.68,21.92,1.0,88.32
material-calendarview,6.45,4.0,7.56,1.53,1.0,0.73,69.01,0.0,531.32
androidmvp,3.29,2.0,3.77,1.29,1.0,0.47,3.0,0.0,4.64
motan,5.94,4.0,5.75,1.43,1.0,0.82,32.72,1.0,155.31
tvapk,,,0.0,,,0.0,,,0.0
fesod,6.09,5.0,5.79,1.37,1.0,0.8,30.27,1.0,339.98
Fast-Android-Networking,3.22,2.0,4.6,1.25,1.0,1.13,13.77,1.0,100.48
blade,4.62,3.0,5.95,1.23,1.0,0.77,42.16,0.0,185.47
DiskLruCache,3.25,2.5,2.99,1.33,1.0,0.78,11.0,3.0,25.59
MifareClassicTool,11.12,9.0,10.39,2.27,3.0,0.91,110.0,3.0,400.53
lanproxy,4.24,3.0,3.89,1.19,1.0,0.5,8.21,0.0,27.17
PeerBanHelper,6.45,4.0,7.9,1.31,1.0,0.68,16.0,0.0,61.05
linuxdeploy,7.16,5.0,7.45,1.65,2.0,0.48,35.89,3.0,119.33
BoomMenu,5.63,4.0,6.75,1.57,1.0,0.85,227.67,0.0,2078.29
DiscreteScrollView,4.23,2.0,4.82,1.25,1.0,0.46,19.11,0.0,101.52
tcc-transaction,5.25,3.0,5.64,1.31,1.0,0.8,29.74,1.0,99.77
Discovery,4.78,4.0,5.03,1.27,1.0,0.6,18.8,1.0,111.9
circular-progress-button,3.97,2.0,4.37,1.28,1.0,0.51,25.33,0.0,131.91
strimzi-kafka-operator,10.97,7.0,13.03,1.49,1.0,0.88,45.36,1.0,279.22
sensitive-word,3.05,2.0,3.59,1.17,1.0,0.48,20.87,0.0,152.87
janusgraph,7.02,4.0,10.05,1.44,1.0,0.84,43.95,1.0,663.48
FastHub,8.07,5.0,7.86,1.44,1.0,0.68,34.76,1.0,131.6
lamp-cloud,7.77,7.0,6.08,1.27,1.0,0.46,6.89,0.0,34.68
MusicBot,6.74,5.0,6.91,2.51,3.0,1.85,10.59,1.0,63.06
lettuce,6.5,4.0,8.53,1.37,1.0,0.93,146.6,0.0,3206.69
spring-boot-projects,4.33,3.0,3.99,1.07,1.0,0.43,9.07,1.0,19.73
SwipeRecyclerView,4.85,3.0,5.25,1.39,1.0,0.84,26.94,0.0,115.44
library,6.79,5.0,5.61,1.04,1.0,0.3,5.43,0.0,23.41
aurora-imui,4.81,2.5,7.04,1.53,1.0,1.44,50.27,0.0,407.5
InfiniteCycleViewPager,5.05,3.0,6.48,1.63,2.0,0.89,102.54,0.0,513.51
novel,4.42,2.0,5.52,1.07,1.0,0.34,20.43,0.0,67.11
react-native-splash-screen,3.42,2.5,2.97,1.25,1.0,0.45,2.0,0.5,2.7
springside4,3.17,2.0,3.38,1.28,1.0,0.8,24.78,1.0,109.01
EdXposed,6.07,4.0,6.96,1.6,1.0,1.05,191.08,1.0,2193.77
u2020,6.22,4.0,8.09,1.43,1.0,0.82,23.62,0.5,184.59
Blurry,5.14,3.5,4.54,1.0,1.0,0.0,0.64,0.0,1.6
HTextView,4.2,2.0,4.08,1.56,1.0,0.76,3.48,0.0,8.56
typespec,8.92,8.0,6.99,1.15,1.0,0.47,24.39,1.0,128.2
AndroidImageSlider,4.06,2.0,7.08,1.57,1.0,0.78,59.1,1.0,361.21
OsmAnd,9.0,5.0,11.23,1.73,1.0,2.26,109.06,1.0,623.24
Android-ZBLibrary,5.38,3.0,6.41,1.56,1.0,1.03,26.67,0.0,131.61
FlowLayout,4.32,3.0,3.81,1.41,1.0,0.56,5.0,0.0,16.01
hbase,7.81,5.0,10.67,1.49,1.0,1.59,70.17,1.0,891.31
uid-generator,2.88,1.0,3.38,1.28,1.0,0.74,11.72,1.0,21.2
jetcache,6.03,4.0,6.5,1.64,1.0,1.1,15.91,0.0,111.45
Digital,5.05,4.0,5.76,1.68,1.0,1.73,13.25,0.0,95.6
ShowcaseView,5.38,5.0,5.59,1.4,1.0,0.68,17.82,0.0,118.87
usb-serial-for-android,6.0,4.0,7.22,1.38,1.0,0.66,39.54,1.0,118.44
QLExpress,5.78,3.0,11.17,1.4,1.0,0.64,44.0,2.0,330.62
AutoJs6,5.18,3.0,6.74,1.46,1.0,0.88,42.4,1.0,268.9
ListViewAnimations,6.47,5.0,5.5,2.06,2.0,1.24,10.46,0.0,45.06
disconf,4.44,3.0,5.13,1.36,1.0,0.83,12.62,0.0,68.22
AndroidVideoCache,4.83,3.0,4.89,1.49,1.0,0.66,14.32,1.0,34.24
MagicCamera,3.54,3.0,4.99,1.47,1.0,0.68,7.63,0.0,33.22
sodium,6.29,4.0,6.88,1.51,1.0,2.39,17.29,1.0,71.26
QAuxiliary,7.47,5.0,7.79,1.32,1.0,0.59,40.51,1.0,246.27
jpexs-decompiler,5.95,3.0,12.36,1.93,1.0,2.36,60.94,1.0,659.41
Geyser,8.0,6.0,10.68,1.74,1.0,1.19,34.04,1.0,447.73
StickyListHeaders,4.81,3.0,6.95,1.4,1.0,0.66,3.98,0.0,15.53
FastBle,4.38,2.0,5.92,1.3,1.0,0.57,26.07,0.0,184.24
wechat,5.23,3.0,7.27,1.25,1.0,0.71,15.45,0.0,96.53
scribejava,4.21,3.0,3.99,1.4,1.0,0.78,10.94,1.0,89.92
freeline,3.8,3.0,4.62,1.61,1.0,1.51,13.87,1.0,63.54
TapTargetView,4.51,2.0,7.07,1.15,1.0,0.43,49.9,0.0,246.55
liquibase,6.85,4.0,7.64,1.78,2.0,0.91,66.13,3.0,563.38
mosby,5.38,3.0,5.68,1.61,1.0,1.23,9.64,0.0,27.98
barcodescanner,5.29,2.0,6.26,1.64,1.0,0.86,11.82,0.0,32.83
groovy,,,0.0,,,0.0,,,0.0
Telegram-X,9.5,4.0,19.68,1.43,1.0,0.88,549.11,1.0,8505.51
TelegramBots,10.41,11.0,6.59,2.18,1.0,1.77,11.31,0.0,102.15
spring-data-examples,2.63,2.0,1.65,1.01,1.0,0.09,0.47,0.0,2.3
socket.io-client-java,1.92,1.0,2.8,1.1,1.0,0.42,4.25,0.0,34.1
rebound,4.38,2.0,5.63,1.32,1.0,0.58,34.93,0.0,238.1
megabasterd,2.76,1.0,4.4,1.49,1.0,1.33,85.72,0.0,378.93
dubbo-spring-boot-project,7.11,6.0,5.0,1.17,1.0,0.38,11.93,0.0,71.13
thumbnailator,4.09,2.0,4.86,1.24,1.0,0.71,93.22,0.0,851.4
killbill,8.66,6.0,10.08,1.79,1.0,1.1,28.23,1.0,123.9
web3j,4.27,2.0,8.76,1.74,1.0,1.68,35.48,0.0,213.75
spotless,4.99,4.0,4.3,1.74,1.0,1.27,13.91,1.0,95.1
shimmer-android,8.57,9.0,6.65,1.86,2.0,0.69,18.0,10.0,24.48
android-job,6.99,4.0,6.06,1.77,1.0,2.35,32.01,1.0,135.39
pmd,5.75,4.0,8.5,2.04,2.0,2.55,43.64,1.0,590.63
android-advancedrecyclerview,6.61,4.0,7.13,2.41,2.0,2.21,32.02,0.0,194.66
cw-omnibus,5.27,4.0,4.95,1.69,2.0,0.83,20.08,0.0,131.7
picocli,3.0,2.0,4.96,1.11,1.0,1.47,58.91,0.0,970.42
SystemBarTint,8.0,7.0,5.17,1.78,2.0,0.67,22.56,1.0,37.19
runelite,3.4,0.0,6.96,1.21,1.0,0.72,24.55,0.0,845.68
markor,6.85,4.0,9.96,1.48,1.0,0.96,129.51,1.0,999.08
google-authenticator,3.89,2.0,5.05,1.69,1.0,1.31,29.66,1.0,90.16
XRecyclerView,3.91,2.0,4.85,1.42,1.0,0.61,9.04,0.0,63.09
allure2,5.96,4.0,5.68,1.3,1.0,0.79,13.77,1.0,52.87
generator,7.96,5.0,7.45,2.45,2.0,1.59,85.63,3.0,456.86
db-tutorial,5.21,4.0,5.16,1.18,1.0,0.55,32.61,0.0,181.5
DKVideoPlayer,5.33,2.0,6.29,1.59,1.0,0.85,46.75,0.0,392.83
lwjgl3,6.82,6.0,8.15,2.36,2.0,1.23,1011.43,91.0,21098.08
Android-Touch-Helper,4.13,3.0,5.17,1.18,1.0,0.39,1.95,0.0,8.44
JustTrustMe,2.56,1.0,4.45,1.19,1.0,0.48,2.7,0.0,9.07
gradle-retrolambda,4.6,3.0,3.61,1.04,1.0,0.2,2.16,0.0,9.01
Infinity-For-Reddit,6.99,4.0,10.95,1.55,1.0,2.38,31.35,1.0,318.2
VitamioBundle,4.95,3.0,6.11,1.32,1.0,0.6,75.07,0.0,589.27
android-lifecycle,7.0,7.5,5.22,1.67,2.0,0.52,151.67,190.0,121.96
dddsample-core,7.09,5.0,6.53,1.13,1.0,0.49,7.03,0.0,23.42
springboot-guide,4.12,3.0,3.11,1.18,1.0,0.57,1.35,0.0,5.5
okdownload,6.44,4.0,6.85,1.27,1.0,0.78,35.26,0.0,204.23
BasePopup,5.89,3.0,6.58,1.7,1.0,1.21,34.33,1.0,226.38
titan,5.86,3.0,8.65,1.37,1.0,0.81,20.51,1.0,117.23
easy-rules,5.09,4.0,3.57,1.31,1.0,0.65,7.63,1.0,23.51
Side-Menu.Android,3.89,2.0,5.2,1.22,1.0,0.43,4.11,0.0,10.48
midjourney-proxy,5.9,5.0,5.72,1.24,1.0,0.55,5.81,0.0,14.41
smartTable,5.13,2.0,7.64,1.19,1.0,0.46,25.93,0.0,203.92
Android-IMSI-Catcher-Detector,5.06,3.0,6.86,1.33,1.0,0.66,4.96,0.0,16.36
twoway-view,6.08,4.0,5.79,1.82,1.0,1.21,86.59,1.0,429.29
bitcoinj,7.13,4.0,10.77,1.72,1.0,2.73,87.97,0.0,691.66
reactor-core,7.2,7.0,8.2,1.68,1.0,1.63,121.61,1.0,2142.73
Dexter,4.42,3.0,5.25,1.2,1.0,0.56,4.15,0.0,14.59
oshi,5.24,4.0,5.34,1.6,1.0,1.16,32.44,1.0,122.38
YCSB,7.06,3.0,7.56,1.64,1.0,0.75,7.85,0.0,19.52
JS-Sorting-Algorithm,3.58,3.0,3.68,1.0,1.0,0.0,2.83,0.5,4.47
shopping-management-system,3.52,3.0,3.59,1.36,1.0,0.66,76.33,3.0,592.77
FloatingActionButton,4.64,2.0,7.38,1.38,1.0,0.77,139.68,0.0,691.84
xpay,6.43,5.0,6.88,1.0,1.0,0.0,93.43,1.0,288.5
views-widgets-samples,4.02,2.0,4.27,1.73,1.0,1.18,7.01,0.0,21.03
aviatorscript,4.64,3.0,6.71,1.5,1.0,0.78,63.15,1.0,382.8
dynamic-datasource,5.41,4.0,4.78,1.14,1.0,0.48,2.33,0.0,8.13
ctci,1.96,2.0,1.47,1.12,1.0,0.43,5.1,1.0,17.87
otto,2.44,1.0,3.13,1.39,1.0,0.87,3.55,0.0,14.62
CameraView,5.6,3.0,8.07,1.37,1.0,0.74,34.76,0.0,335.64
Luyten,2.35,1.0,4.12,1.54,1.0,1.59,15.45,0.0,65.42
wgcloud,6.04,3.0,7.75,1.19,1.0,0.4,34.54,9.5,49.62
calcite,7.7,5.0,10.28,1.7,1.0,2.11,404.03,1.0,8706.77
DesignPattern,2.54,2.0,3.61,1.28,1.0,0.45,1.43,0.0,4.56
armeria,6.44,5.0,6.5,1.31,1.0,0.84,32.69,0.0,258.13
spring-authorization-server,10.27,7.0,10.22,1.39,1.0,0.82,16.81,1.0,97.01
sofa-boot,5.15,3.0,5.46,1.2,1.0,0.53,17.82,0.0,246.22
XUI,5.73,3.0,6.44,1.66,1.0,0.94,52.71,1.0,352.07
bisq,7.49,4.0,9.49,1.75,1.0,1.17,30.17,1.0,368.18
opentsdb,7.14,4.0,7.68,1.28,1.0,0.8,64.88,0.0,365.98
ignite,5.6,3.0,8.86,1.66,1.0,1.53,495.74,0.0,64912.9
poi-tl,6.49,4.0,7.96,1.21,1.0,0.53,89.66,0.0,1507.2
Small,3.81,2.0,4.96,1.48,1.0,0.83,20.17,0.0,143.3
Chronos,3.2,2.0,1.79,1.0,1.0,0.0,0.4,0.0,0.55
gpmall,4.98,3.0,5.96,1.36,1.0,0.64,8.17,0.0,43.34
mapdb,3.24,2.0,4.12,2.02,1.0,3.55,81.85,0.0,452.76
spring-boot-best-practice,5.0,4.0,3.64,1.09,1.0,0.34,3.26,0.0,25.67
android-common,4.45,3.0,4.24,1.25,1.0,0.62,43.06,1.0,150.88
android-zxingLibrary,4.71,3.0,5.71,1.33,1.0,0.58,5.63,0.0,15.31
CloudReader,4.75,3.0,5.52,1.46,1.0,0.92,19.41,0.0,84.25
maven,5.37,3.0,7.21,1.54,1.0,0.83,46.0,0.0,579.85
GravitySnapHelper,6.86,6.0,6.18,1.57,1.0,0.79,66.0,1.0,164.58
ruoyi-ai,6.98,5.0,7.42,1.28,1.0,0.6,9.61,0.0,35.84
joda-time,8.58,6.0,8.19,2.28,2.0,1.87,295.38,10.0,784.56
LayoutManagerGroup,4.95,3.0,4.33,1.57,2.0,0.53,9.14,0.0,38.8
spring-mvc-showcase,5.17,5.0,3.69,1.21,1.0,0.45,9.45,0.0,23.87
rstudio,4.9,2.0,10.09,1.28,1.0,0.64,338.45,0.0,12879.88
dialogplus,5.24,3.0,6.29,1.03,1.0,0.19,57.86,0.0,255.17
UltraViewPager,5.21,2.0,6.85,1.38,1.0,0.49,58.38,0.0,124.88
spring-cloud-netflix,7.36,6.0,6.8,1.19,1.0,0.51,94.4,0.0,943.49
roncoo-pay,5.21,3.0,6.22,1.28,1.0,0.66,62.94,3.0,312.8
querydsl,5.2,3.0,6.19,1.99,1.0,2.14,42.9,0.0,572.85
InstaMaterial,4.79,2.0,6.38,1.54,1.0,0.86,9.94,0.0,29.58
react-native-config,4.6,4.0,2.95,1.5,1.0,0.69,1.95,1.0,3.46
